id,explanation_en,explanation_gr,explanation_it,explanation_pl,statement_en,statement_gr,statement_it,statement_pl,sub_element_en,sub_element_gr,sub_element_it,sub_element_pl,thematic_element_en,thematic_element_gr,thematic_element_it,thematic_element_pl
1,"The organisation's strategic/planning processes and documentation include a vision and mission that clearly articulates the potential of digital learning technologies to modernise educational practices, geared towards more comprehensive learning outcomes.","Οι διαδικασίες στρατηγικής/σχεδιασμού και η τεκμηρίωση του οργανισμού περιλαμβάνουν ένα όραμα και μια αποστολή που διατυπώνει με σαφήνεια τις δυνατότητες των τεχνολογιών ψηφιακής μάθησης να εκσυγχρονίσουν τις εκπαιδευτικές πρακτικές, προσανατολισμένες σε πιο ολοκληρωμένα μαθησιακά αποτελέσματα.",I processi e la documentazione strategica/di pianificazione dell'organizzazione includono una visione e una missione che uniscono il potenziale delle tecnologie di apprendimento digitale per modernizzare le pratiche educative orientate verso risultati di apprendimento più completi.,"Procesy strategiczne / planistyczne i dokumentacja organizacji obejmują wizję i misję, które jasno wyrażają potencjał cyfrowych technologii, wykorzystywanych w uczeniu się celem udoskonalenia praktyk edukacyjnych, ukierunkowanych na bardziej kompleksowe efekty uczenia się.",The potential of digital learning technologies is clearly flagged,Το δυναμικό των τεχνολογιών ψηφιακής εκμάθησης επισημαίνεται σαφώς,Il potenziale delle tecnologie di apprendimento digitale è chiaramente evidenziato,Potencjał wykorzystania cyfrowych technologii w uczeniu się jest wyraźnie komunikowany,"Integration of Digital-age Learning is part of the overall mission, vision and strategy (Factors that foster effective learning including the integration and organisation-wide use of digital learning technologies are clearly embedded in statements of the mission, vision and strategy of the organization)","Η ενσωμάτωση της μάθησης στην ψηφιακή εποχή είναι μέρος της συνολικής αποστολής, οράματος και στρατηγικής (Παράγοντες που ενθαρρύνουν την αποτελεσματική μάθηση, συμπεριλαμβανομένης της ενσωμάτωσης και της χρήσης ψηφιακών τεχνολογιών εκμάθησης σε επίπεδο οργανισμού, ενσωματώνονται σαφώς στις δηλώσεις της αποστολής, του οράματος και της στρατηγικής του οργανισμού)","L'integrazione dell'apprendimento nell'era digitale fa parte della missione, della visione e della strategia (i fattori che favoriscono l'apprendimento efficace, compresa l'integrazione e l'uso a livello organizzativo delle tecnologie di apprendimento digitale, sono chiaramente incorporati nelle dichiarazioni della missione, della visione e della strategia dell'organizzazione)","Integracja cyfrowego uczenia się jest elementem misji, wizji, strategii instytucji (Czynniki sprzyjające skutecznemu uczeniu się, w tym integracja i wykorzystanie cyfrowych technologii w zakresie uczenia się, są wyraźnie osadzone w misji, wizji i strategii organizacji).",Leadership & Governance Practices,Πρακτικές Ηγεσίας & Διακυβέρνησης,Pratiche di leadership e governance,Przywództwo & administrowanie 
2,The organisation has appropriate processes in place for communicating internally and externally the vision for and the benefits to be gained from the integration of digital learning technologies.,Ο οργανισμός διαθέτει κατάλληλες διαδικασίες για να επικοινωνήσει εσωτερικά και εξωτερικά το όραμα και τα οφέλη που θα αποκομιστούν από την ενσωμάτωση των τεχνολογιών ψηφιακής μάθησης., L'organizzazione dispone dei processi adeguati per comunicare sia internamente che esternamente la visione e i vantaggi che si possono ottenere dall'integrazione delle tecnologie di apprendimento digitale.,"Organizacja posiada odpowiednie procesy wewnętrznego i zewnętrznego komunikowania wizji i korzyści, jakie można uzyskać z integracji cyfrowych technologii uczenia się.",The benefits of digital learning technologies are communicated,Τα οφέλη των τεχνολογιών ψηφιακής μάθησης κοινοποιούνται,I vantaggi delle tecnologie di apprendimento digitale vengono comunicati e condivisi,"Korzyści, płynące z wykorzystania cyfrowych technologii w procesie uczenia się, są komunikowane","Integration of Digital-age Learning is part of the overall mission, vision and strategy (Factors that foster effective learning including the integration and organisation-wide use of digital learning technologies are clearly embedded in statements of the mission, vision and strategy of the organization)","Η ενσωμάτωση της μάθησης στην ψηφιακή εποχή είναι μέρος της συνολικής αποστολής, οράματος και στρατηγικής (Παράγοντες που ενθαρρύνουν την αποτελεσματική μάθηση, συμπεριλαμβανομένης της ενσωμάτωσης και της χρήσης ψηφιακών τεχνολογιών εκμάθησης σε επίπεδο οργανισμού, ενσωματώνονται σαφώς στις δηλώσεις της αποστολής, του οράματος και της στρατηγικής του οργανισμού)","L'integrazione dell'apprendimento nell'era digitale fa parte della missione, della visione e della strategia (i fattori che favoriscono l'apprendimento efficace, compresa l'integrazione e l'uso a livello organizzativo delle tecnologie di apprendimento digitale, sono chiaramente incorporati nelle dichiarazioni della missione, della visione e della strategia dell'organizzazione)","Integracja cyfrowego uczenia się jest elementem misji, wizji, strategii instytucji (Czynniki sprzyjające skutecznemu uczeniu się, w tym integracja i wykorzystanie cyfrowych technologii w zakresie uczenia się, są wyraźnie osadzone w misji, wizji i strategii organizacji).",Leadership & Governance Practices,Πρακτικές Ηγεσίας & Διακυβέρνησης,Pratiche di leadership e governance,Przywództwo & administrowanie 
3,The organisation's strategic plan is evidence-based and is informed by ongoing research on the educational use of digital technologies and includes specific goals and objectives in relation to embedding digital-age learning on a sustainable organisation-wide basis with associated performance indicators.,Το στρατηγικό σχέδιο του οργανισμού βασίζεται σε τεκμήρια και σε συνεχή έρευνα σχετικά με την εκπαιδευτική χρήση των ψηφιακών τεχνολογιών και περιλαμβάνει συγκεκριμένους στόχους και στόχους σε σχέση με την ενσωμάτωση της μάθησης στην ψηφιακή εποχή σε βιώσιμη βάση σε επίπεδο οργανισμού με σχετικούς δείκτες απόδοσης.,Il piano strategico dell'organizzazione è basato su prove e informzioni ottenute dalle diverse ricerche sull'uso educativo delle tecnologie digitali e allo stesso tempo include degli scopi e obiettivi specifici in relazione all'integrazione dell'apprendimento dell'era digitale su una base sostenibile dell'organizzazione con indicatori di prestazione associati.,"Strategia organizacji opiera się na dowodach i bieżących badaniach z zakresu wykorzystania technologii cyfrowych w organizacji Obejmuje ona konkretne cele i zadania związane z wdrażaniem w sposób zrównoważony (w całej organizacji) uczenia się, charakterystycznego dla ery cyfrowej, wraz z wykorzystaniem odpowiednich wskaźników wydajności. ",The strategic plan encompasses digital-age learning,Το στρατηγικό σχέδιο περιλαμβάνει τη μάθηση στην ψηφιακή εποχή,Il piano strategico include l'apprendimento dell'era digitale,Strategia organizacji obejmuje uczenie się w erze cyfrowej,"Integration of Digital-age Learning is part of the overall mission, vision and strategy (Factors that foster effective learning including the integration and organisation-wide use of digital learning technologies are clearly embedded in statements of the mission, vision and strategy of the organization)","Η ενσωμάτωση της μάθησης στην ψηφιακή εποχή είναι μέρος της συνολικής αποστολής, οράματος και στρατηγικής (Παράγοντες που ενθαρρύνουν την αποτελεσματική μάθηση, συμπεριλαμβανομένης της ενσωμάτωσης και της χρήσης ψηφιακών τεχνολογιών εκμάθησης σε επίπεδο οργανισμού, ενσωματώνονται σαφώς στις δηλώσεις της αποστολής, του οράματος και της στρατηγικής του οργανισμού)","L'integrazione dell'apprendimento nell'era digitale fa parte della missione, della visione e della strategia (i fattori che favoriscono l'apprendimento efficace, compresa l'integrazione e l'uso a livello organizzativo delle tecnologie di apprendimento digitale, sono chiaramente incorporati nelle dichiarazioni della missione, della visione e della strategia dell'organizzazione)","Integracja cyfrowego uczenia się jest elementem misji, wizji, strategii instytucji (Czynniki sprzyjające skutecznemu uczeniu się, w tym integracja i wykorzystanie cyfrowych technologii w zakresie uczenia się, są wyraźnie osadzone w misji, wizji i strategii organizacji).",Leadership & Governance Practices,Πρακτικές Ηγεσίας & Διακυβέρνησης,Pratiche di leadership e governance,Przywództwo & administrowanie 
4,"The public engagement aspect of the organisation's strategy includes commitments to open education practices such as open courses, open lectures and open access to digital resources and publications.","Η πτυχή της δημόσιας συμμετοχής της στρατηγικής του οργανισμού περιλαμβάνει δεσμεύσεις για πρακτικές ανοιχτής εκπαίδευσης, όπως ανοιχτά μαθήματα, ανοιχτές διαλέξεις και ανοιχτή πρόσβαση σε ψηφιακούς πόρους και δημοσιεύσεις.","L'aspetto dell'impegno pubblico della strategia d'organizzazione include impegni per le pratiche di istruzione aperte come corsi aperti, conferenze aperte e accesso aperto alle risorse digitali e pubblicazioni digitali.","Zawarty w strategii aspekt zaangażowania publicznego organizacji, obejmuje zobowiązanie do otwartych praktyk edukacyjnych, takich jak otwarte kursy, otwarte wykłady i otwarty dostęp do zasobów cyfrowych i publikacji.",Open education is an aspect of public engagement,Η ανοιχτή εκπαίδευση είναι μια πτυχή της δημόσιας συμμετοχής,L'educazione aperta è un aspetto dell'impegno pubblico,Otwarta edukacja jest elementem zaangażowania społecznego organizacji,"Integration of Digital-age Learning is part of the overall mission, vision and strategy (Factors that foster effective learning including the integration and organisation-wide use of digital learning technologies are clearly embedded in statements of the mission, vision and strategy of the organization)","Η ενσωμάτωση της μάθησης στην ψηφιακή εποχή είναι μέρος της συνολικής αποστολής, οράματος και στρατηγικής (Παράγοντες που ενθαρρύνουν την αποτελεσματική μάθηση, συμπεριλαμβανομένης της ενσωμάτωσης και της χρήσης ψηφιακών τεχνολογιών εκμάθησης σε επίπεδο οργανισμού, ενσωματώνονται σαφώς στις δηλώσεις της αποστολής, του οράματος και της στρατηγικής του οργανισμού)","L'integrazione dell'apprendimento nell'era digitale fa parte della missione, della visione e della strategia (i fattori che favoriscono l'apprendimento efficace, compresa l'integrazione e l'uso a livello organizzativo delle tecnologie di apprendimento digitale, sono chiaramente incorporati nelle dichiarazioni della missione, della visione e della strategia dell'organizzazione)","Integracja cyfrowego uczenia się jest elementem misji, wizji, strategii instytucji (Czynniki sprzyjające skutecznemu uczeniu się, w tym integracja i wykorzystanie cyfrowych technologii w zakresie uczenia się, są wyraźnie osadzone w misji, wizji i strategii organizacji).",Leadership & Governance Practices,Πρακτικές Ηγεσίας & Διακυβέρνησης,Pratiche di leadership e governance,Przywództwo & administrowanie 
5,"The digital capacity implementation plan is contextualised and builds on enablers/facilitators of digital learning technology integration, while addressing possible barriers.","Το σχέδιο υλοποίησης ψηφιακής ικανότητας προσαρμόζεται στα συμφραζόμενα και βασίζεται σε παράγοντες που διευκολύνουν την ενσωμάτωση της τεχνολογίας ψηφιακής μάθησης, ενώ αναδεικνύει πιθανά εμπόδια.","Il piano di implementazione della capacità digitale è contestualizzato e si basa su abilitatori/facilitatori dell'integrazione della tecnologia dell'apprendimento digitale, affrontando al contempo possibili ostacoli.","Plan cyfryzacji jest budowany z uwzględnieniem wszelkich kontekstów/ uwarunkowań,  opiera się na czynnikach ułatwiających integrację technologii cyfrowego uczenia się, przy jednoczesnym usuwaniu ewentualnych barier.",Planning builds on enablers while addressing barriers,Ο προγραμματισμός βασίζεται σε παράγοντες που επιτρέπουν την αντιμετώπιση των φραγμών,La pianificazione si basa su fattori abilitanti affrontando le barriere,"Planowanie opiera się na czynnikach umożliwiających realizację danego przedsięwzięcia, przy jednoczesnym usuwaniu barier","Strategy for digital-age learning is supported by an implementation plan (The organisation has a well-defined and realistic digital capacity implementation plan, with clear priorities and measurable targets for the effective organisation-wide deployment of digital learning technologies, in the context of an overarching policy/strategic plan for teaching, learning and assessment.)","Η στρατηγική για τη μάθηση στην ψηφιακή εποχή υποστηρίζεται από ένα σχέδιο υλοποίησης (Ο οργανισμός έχει ένα καλά καθορισμένο και ρεαλιστικό σχέδιο υλοποίησης ψηφιακής ικανότητας, με σαφείς προτεραιότητες και μετρήσιμους στόχους για την αποτελεσματική ανάπτυξη τεχνολογιών ψηφιακής μάθησης σε ολόκληρο τον οργανισμό, στο πλαίσιο ενός γενική πολιτική/στρατηγικό σχέδιο για τη διδασκαλία, τη μάθηση και την αξιολόγηση.)","La strategia dell'apprendimento nell'era digitale è supportata da un piano d'attuazione (l'organizzazione dispone di un piano di attuazione della capacità digitale ben definito e realistico, con priorità chiare e obiettivi misurabili per l'efficace diffusione a livello organizzativo per le tecnologie di apprendimento digitale, nel contesto di un politica generale/piano strategico per l'insegnamento, l'apprendimento e la valutazione).","Strategia na rzecz cyfryzacji uczenia się jest poparta realnym planem wdrożenia (Organizacja ma dobrze zdefiniowany i realistyczny plan wdrożenia strategii cyfryzacji, z jasnymi priorytetami i wymiernymi celami skutecznego wdrażania cyfrowych technologii uczenia się w całej organizacji, w kontekście nadrzędnej polityki w zakresie nauczania, uczenia się i oceny).",Leadership & Governance Practices,Πρακτικές Ηγεσίας & Διακυβέρνησης,Pratiche di leadership e governance,Przywództwo & administrowanie 
6,"The digital capacity implementation plan affords internal stakeholders a degree of autonomy in the implementation of digital learning technologies, in the context of an overarching policy for teaching and learning and/or the requirements of a curriculum.","Το σχέδιο υλοποίησης ψηφιακής ικανότητας παρέχει στους ενδιαφερόμενους που βρίσκονται εσωτερικά του οργανισμού έναν βαθμό αυτονομίας στην εφαρμογή των τεχνολογιών ψηφιακής μάθησης, στο πλαίσιο μιας γενικής πολιτικής για τη διδασκαλία και τη μάθηση ή/και τις απαιτήσεις ενός προγράμματος σπουδών.","Il piano di implementazione della capacità digitale offre agli stakeholder interni un certo grado di autonomia nell'attuazione delle tecnologie di apprendimento digitale, nel contesto di una politica globale per l'insegnamento e l'apprendimento e/o dei requisiti di un curriculum.","Plan cyfryzacji zapewnia wewnętrznym uczestnikom procesu wdrażania cyfrowych technologii uczenia się, pewien stopień autonomii, w kontekście nadrzędnej polityki edukacji lub wymogów programu nauczania.",Internal stakeholders have a degree of autonomy,Τα εσωτερικά ενδιαφερόμενα μέρη έχουν ένα βαθμό αυτονομίας,Gli stakeholder interni hanno un certo grado di autonomia,Interesariusze wewnętrzni mają określony stopień autonomii,"Strategy for digital-age learning is supported by an implementation plan (The organisation has a well-defined and realistic digital capacity implementation plan, with clear priorities and measurable targets for the effective organisation-wide deployment of digital learning technologies, in the context of an overarching policy/strategic plan for teaching, learning and assessment.)","Η στρατηγική για τη μάθηση στην ψηφιακή εποχή υποστηρίζεται από ένα σχέδιο υλοποίησης (Ο οργανισμός έχει ένα καλά καθορισμένο και ρεαλιστικό σχέδιο υλοποίησης ψηφιακής ικανότητας, με σαφείς προτεραιότητες και μετρήσιμους στόχους για την αποτελεσματική ανάπτυξη τεχνολογιών ψηφιακής μάθησης σε ολόκληρο τον οργανισμό, στο πλαίσιο ενός γενική πολιτική/στρατηγικό σχέδιο για τη διδασκαλία, τη μάθηση και την αξιολόγηση.)","La strategia dell'apprendimento nell'era digitale è supportata da un piano d'attuazione (l'organizzazione dispone di un piano di attuazione della capacità digitale ben definito e realistico, con priorità chiare e obiettivi misurabili per l'efficace diffusione a livello organizzativo per le tecnologie di apprendimento digitale, nel contesto di un politica generale/piano strategico per l'insegnamento, l'apprendimento e la valutazione).","Strategia na rzecz cyfryzacji uczenia się jest poparta realnym planem wdrożenia (Organizacja ma dobrze zdefiniowany i realistyczny plan wdrożenia strategii cyfryzacji, z jasnymi priorytetami i wymiernymi celami skutecznego wdrażania cyfrowych technologii uczenia się w całej organizacji, w kontekście nadrzędnej polityki w zakresie nauczania, uczenia się i oceny).",Leadership & Governance Practices,Πρακτικές Ηγεσίας & Διακυβέρνησης,Pratiche di leadership e governance,Przywództwo & administrowanie 
7,"The digital capacity implementation plan identifies opportunities, incentives and rewards for staff who actively engage in the process of building digital capacity and modernisation of learning environments.","Το σχέδιο υλοποίησης ψηφιακής ικανότητας προσδιορίζει ευκαιρίες, κίνητρα και ανταμοιβές για το προσωπικό που συμμετέχει ενεργά στη διαδικασία δημιουργίας ψηφιακής ικανότητας και εκσυγχρονισμού μαθησιακών περιβαλλόντων.","Il piano di implementazione della capacità digitale identifica opportunità, incentivi e premi per il personale impegnato attivamente nel processo della costruzione della capacità digitale e della modernizzazione degli ambienti di apprendimento.","W planie wdrożenia (cyfryzacji) określono możliwości zachęcania i nagradzania pracowników, którzy aktywnie angażują się w proces budowania zdolności kompetencji cyfrowych i modernizacji środowiska edukacyjnego w organizacji.","Opportunities, incentives and rewards for staff are identified","Εντοπίζονται ευκαιρίες, κίνητρα και ανταμοιβές για το προσωπικό","Vengono individuate opportunità, incentivi e premi per il personale",Zidentyfikowano możliwe zachęty i nagrody  dla pracowników,"Strategy for digital-age learning is supported by an implementation plan (The organisation has a well-defined and realistic digital capacity implementation plan, with clear priorities and measurable targets for the effective organisation-wide deployment of digital learning technologies, in the context of an overarching policy/strategic plan for teaching, learning and assessment.)","Η στρατηγική για τη μάθηση στην ψηφιακή εποχή υποστηρίζεται από ένα σχέδιο υλοποίησης (Ο οργανισμός έχει ένα καλά καθορισμένο και ρεαλιστικό σχέδιο υλοποίησης ψηφιακής ικανότητας, με σαφείς προτεραιότητες και μετρήσιμους στόχους για την αποτελεσματική ανάπτυξη τεχνολογιών ψηφιακής μάθησης σε ολόκληρο τον οργανισμό, στο πλαίσιο ενός γενική πολιτική/στρατηγικό σχέδιο για τη διδασκαλία, τη μάθηση και την αξιολόγηση.)","La strategia dell'apprendimento nell'era digitale è supportata da un piano d'attuazione (l'organizzazione dispone di un piano di attuazione della capacità digitale ben definito e realistico, con priorità chiare e obiettivi misurabili per l'efficace diffusione a livello organizzativo per le tecnologie di apprendimento digitale, nel contesto di un politica generale/piano strategico per l'insegnamento, l'apprendimento e la valutazione).","Strategia na rzecz cyfryzacji uczenia się jest poparta realnym planem wdrożenia (Organizacja ma dobrze zdefiniowany i realistyczny plan wdrożenia strategii cyfryzacji, z jasnymi priorytetami i wymiernymi celami skutecznego wdrażania cyfrowych technologii uczenia się w całej organizacji, w kontekście nadrzędnej polityki w zakresie nauczania, uczenia się i oceny).",Leadership & Governance Practices,Πρακτικές Ηγεσίας & Διακυβέρνησης,Pratiche di leadership e governance,Przywództwo & administrowanie 
8,"The digital capacity implementation plan is aligned with broader priorities, including equal opportunities and widening participation in order to mitigate social disadvantage and reduce the risk of inadequately addressing the needs of particular groups such as gifted students, migrants, and early school leavers.","Το σχέδιο υλοποίησης της ψηφιακής ικανότητας ευθυγραμμίζεται με ευρύτερες προτεραιότητες, συμπεριλαμβανομένων των ίσων ευκαιριών και της διεύρυνσης της συμμετοχής, προκειμένου να μετριαστεί το κοινωνικό μειονέκτημα και να μειωθεί ο κίνδυνος ανεπαρκούς αντιμετώπισης των αναγκών συγκεκριμένων ομάδων, όπως οι προικισμένοι μαθητές, οι μετανάστες και τα άτομα που εγκαταλείπουν πρόωρα το σχολείο.","Il piano di attuazione della capacità digitale è in linea con le priorità più ampie, comprese le pari opportunità e l'ampliamento della partecipazione al fine di mitigare lo svantaggio sociale e ridurre il rischio in una risposta inadeguata alle esigenze di gruppi particolari come studenti svantaggiati, migranti o coloro che abbandonano gli studi precocemente.","Plan wdrożenia cyfryzacji jest dostosowany do szerszych priorytetów (w tym równości szans czy swobodnego dostępu), w celu złagodzenia nierówności społecznych i zmniejszenia ryzyka niedostosowania do potrzeb  takich grup, jak studenci szczególnie uzdolnieni, migranci i osoby przedwcześnie kończące naukę.",Digital-age learning is aligned with broader priorities,Η μάθηση στην ψηφιακή εποχή ευθυγραμμίζεται με ευρύτερες προτεραιότητες,L'apprendimento dell'era digitale è allineato con delle priorità più ampie,Strategia na rzecz cyfryzacji edukacji jest zgodna z  szerszymi priorytetami,"Strategy for digital-age learning is supported by an implementation plan (The organisation has a well-defined and realistic digital capacity implementation plan, with clear priorities and measurable targets for the effective organisation-wide deployment of digital learning technologies, in the context of an overarching policy/strategic plan for teaching, learning and assessment.)","Η στρατηγική για τη μάθηση στην ψηφιακή εποχή υποστηρίζεται από ένα σχέδιο υλοποίησης (Ο οργανισμός έχει ένα καλά καθορισμένο και ρεαλιστικό σχέδιο υλοποίησης ψηφιακής ικανότητας, με σαφείς προτεραιότητες και μετρήσιμους στόχους για την αποτελεσματική ανάπτυξη τεχνολογιών ψηφιακής μάθησης σε ολόκληρο τον οργανισμό, στο πλαίσιο ενός γενική πολιτική/στρατηγικό σχέδιο για τη διδασκαλία, τη μάθηση και την αξιολόγηση.)","La strategia dell'apprendimento nell'era digitale è supportata da un piano d'attuazione (l'organizzazione dispone di un piano di attuazione della capacità digitale ben definito e realistico, con priorità chiare e obiettivi misurabili per l'efficace diffusione a livello organizzativo per le tecnologie di apprendimento digitale, nel contesto di un politica generale/piano strategico per l'insegnamento, l'apprendimento e la valutazione).","Strategia na rzecz cyfryzacji uczenia się jest poparta realnym planem wdrożenia (Organizacja ma dobrze zdefiniowany i realistyczny plan wdrożenia strategii cyfryzacji, z jasnymi priorytetami i wymiernymi celami skutecznego wdrażania cyfrowych technologii uczenia się w całej organizacji, w kontekście nadrzędnej polityki w zakresie nauczania, uczenia się i oceny).",Leadership & Governance Practices,Πρακτικές Ηγεσίας & Διακυβέρνησης,Pratiche di leadership e governance,Przywództwo & administrowanie 
9,"The digital capacity implementation plan includes not only provision for the use of digital learning technologies to modernise existing educational provision but also to offer new opportunities for formal, non-formal and informal learning.","Το σχέδιο υλοποίησης ψηφιακής ικανότητας περιλαμβάνει όχι μόνο πρόβλεψη για τη χρήση τεχνολογιών ψηφιακής μάθησης για τον εκσυγχρονισμό των υφιστάμενων εκπαιδευτικών παροχών, αλλά και την προσφορά νέων ευκαιριών για επίσημη, μη τυπική και άτυπη μάθηση.","Il piano di attuazione della capacità digitale prevede non solo l'uso delle tecnologie di apprendimento digitale per la modernizzazione dell'offerta educativa già esistente, ma anche per offrire nuove opportunità di apprendimento formale, non formale e informale.","Plan cyfryzacji obejmuje nie tylko możliwość wykorzystania cyfrowych technologii dla modernizacji istniejącej oferty edukacyjnej, ale otwiera też nowe możliwości uczenia się formalnego, pozaformalnego i nieformalnego (tworzy się nowa oferta edukacyjna).",There are twin goals of modernising existing educational provision and offering new opportunities,Υπάρχουν διπλοί στόχοι του εκσυγχρονισμού των υφιστάμενων εκπαιδευτικών παροχών και της προσφοράς νέων ευκαιριών,Ci sono due obiettivi allineati: modernizzare l'offerta educativa già esistente e offrire nuove opportunità,Strategia ma dwa cele: modernizacja istniejącej oferty edukacyjnej i oferowanie nowych możliwości,"Strategy for digital-age learning is supported by an implementation plan (The organisation has a well-defined and realistic digital capacity implementation plan, with clear priorities and measurable targets for the effective organisation-wide deployment of digital learning technologies, in the context of an overarching policy/strategic plan for teaching, learning and assessment.)","Η στρατηγική για τη μάθηση στην ψηφιακή εποχή υποστηρίζεται από ένα σχέδιο υλοποίησης (Ο οργανισμός έχει ένα καλά καθορισμένο και ρεαλιστικό σχέδιο υλοποίησης ψηφιακής ικανότητας, με σαφείς προτεραιότητες και μετρήσιμους στόχους για την αποτελεσματική ανάπτυξη τεχνολογιών ψηφιακής μάθησης σε ολόκληρο τον οργανισμό, στο πλαίσιο ενός γενική πολιτική/στρατηγικό σχέδιο για τη διδασκαλία, τη μάθηση και την αξιολόγηση.)","La strategia dell'apprendimento nell'era digitale è supportata da un piano d'attuazione (l'organizzazione dispone di un piano di attuazione della capacità digitale ben definito e realistico, con priorità chiare e obiettivi misurabili per l'efficace diffusione a livello organizzativo per le tecnologie di apprendimento digitale, nel contesto di un politica generale/piano strategico per l'insegnamento, l'apprendimento e la valutazione).","Strategia na rzecz cyfryzacji uczenia się jest poparta realnym planem wdrożenia (Organizacja ma dobrze zdefiniowany i realistyczny plan wdrożenia strategii cyfryzacji, z jasnymi priorytetami i wymiernymi celami skutecznego wdrażania cyfrowych technologii uczenia się w całej organizacji, w kontekście nadrzędnej polityki w zakresie nauczania, uczenia się i oceny).",Leadership & Governance Practices,Πρακτικές Ηγεσίας & Διακυβέρνησης,Pratiche di leadership e governance,Przywództwo & administrowanie 
10,"The leadership team has a shared understanding of why and how the organisation seeks to integrate digital learning technologies, and commitment to the implementation plan is evident.",Η ηγετική ομάδα κατανοεί από κοινού γιατί και πώς ο οργανισμός επιδιώκει να ενσωματώσει ψηφιακές τεχνολογίες εκμάθησης και η δέσμευση στο σχέδιο υλοποίησης είναι εμφανής.,Il team di leadership ha un'idea condivisa sul motivo e sul modo in cui l'organizzazione integra le tecnologie di apprendimento digitale ed l'impegno per il piano di attuazione è evidente,"Kierownictwo rozumie dlaczego i w jaki sposób organizacja dąży do integracji cyfrowych technologii uczenia się, a także ewidentnie angażuje się w plan wdrożenia ww. działań.  ",There is a shared understanding of and commitment to the implementation plan,Υπάρχει κοινή κατανόηση και δέσμευση για το σχέδιο εφαρμογής,C'è un'idea condivisa e  l'impegno nei confronti del piano di attuazione,Plan wdrożenia cyfryzacji jest jednoznacznie rozumiany i widoczne jest zaangażowanie w jego realizację,"A Management and Governance Model is in place (A management and governance model is in place to co-ordinate and oversee the implementation plan for digital-age learning and digital capacity, including effective use of human and other resources and orchestrating the integration and effective use of digital learning technologies.)","Υπάρχει ένα μοντέλο διαχείρισης και διακυβέρνησης (Υπάρχει ένα μοντέλο διαχείρισης και διακυβέρνησης για το συντονισμό και την επίβλεψη του σχεδίου υλοποίησης για τη μάθηση στην ψηφιακή εποχή και την ψηφιακή ικανότητα, συμπεριλαμβανομένης της αποτελεσματικής χρήσης των ανθρώπινων και άλλων πόρων και της ενορχήστρωσης της ολοκλήρωσης και της αποτελεσματικής χρήσης τεχνολογιών ψηφιακής μάθησης.)","È in atto un modello di management e governance (è in atto un modello di management e governance per coordinare e supervisionare il piano di attuazione dell'apprendimento e della capacità digitale nell'era digitale, compreso l'uso efficace delle diverse risorse come qulle umane e il coordinamento dell'integrazione e l'uso efficace delle tecnologie di apprendimento digitale.)","Istnieje model administrowania/zarządzania pozwalający koordynować plan wdrażania cyfryzacji uczenia się (Istnieje model zarządzania mający na celu koordynację i nadzorowanie planu wdrażania uczenia się w erze cyfrowej, w tym efektywnego wykorzystania zasobów ludzkich oraz integracji i skutecznego wykorzystania cyfrowych technologii uczenia się).",Leadership & Governance Practices,Πρακτικές Ηγεσίας & Διακυβέρνησης,Pratiche di leadership e governance,Przywództwo & administrowanie 
