id,explanation,statement,sub_element,thematic_element
1,"The organisation's strategic/planning processes and documentation include a vision and mission that clearly articulates the potential of digital learning technologies to modernise educational practices, geared towards more comprehensive learning outcomes.",The potential of digital learning technologies is clearly flagged,"Integration of Digital-age Learning is part of the overall mission, vision and strategy (Factors that foster effective learning including the integration and organisation-wide use of digital learning technologies are clearly embedded in statements of the mission, vision and strategy of the organization)",Leadership & Governance Practices
2,The organisation has appropriate processes in place for communicating internally and externally the vision for and the benefits to be gained from the integration of digital learning technologies.,The benefits of digital learning technologies are communicated,"Integration of Digital-age Learning is part of the overall mission, vision and strategy (Factors that foster effective learning including the integration and organisation-wide use of digital learning technologies are clearly embedded in statements of the mission, vision and strategy of the organization)",Leadership & Governance Practices
3,The organisation's strategic plan is evidence-based and is informed by ongoing research on the educational use of digital technologies and includes specific goals and objectives in relation to embedding digital-age learning on a sustainable organisation-wide basis with associated performance indicators.,The strategic plan encompasses digital-age learning,"Integration of Digital-age Learning is part of the overall mission, vision and strategy (Factors that foster effective learning including the integration and organisation-wide use of digital learning technologies are clearly embedded in statements of the mission, vision and strategy of the organization)",Leadership & Governance Practices
4,"The public engagement aspect of the organisation's strategy includes commitments to open education practices such as open courses, open lectures and open access to digital resources and publications.",Open education is an aspect of public engagement,"Integration of Digital-age Learning is part of the overall mission, vision and strategy (Factors that foster effective learning including the integration and organisation-wide use of digital learning technologies are clearly embedded in statements of the mission, vision and strategy of the organization)",Leadership & Governance Practices
5,"The digital capacity implementation plan is contextualised and builds on enablers/facilitators of digital learning technology integration, while addressing possible barriers.",Planning builds on enablers while addressing barriers,"Strategy for digital-age learning is supported by an implementation plan (The organisation has a well-defined and realistic digital capacity implementation plan, with clear priorities and measurable targets for the effective organisation-wide deployment of digital learning technologies, in the context of an overarching policy/strategic plan for teaching, learning and assessment.)",Leadership & Governance Practices
6,"The digital capacity implementation plan affords internal stakeholders a degree of autonomy in the implementation of digital learning technologies, in the context of an overarching policy for teaching and learning and/or the requirements of a curriculum.",Internal stakeholders have a degree of autonomy,"Strategy for digital-age learning is supported by an implementation plan (The organisation has a well-defined and realistic digital capacity implementation plan, with clear priorities and measurable targets for the effective organisation-wide deployment of digital learning technologies, in the context of an overarching policy/strategic plan for teaching, learning and assessment.)",Leadership & Governance Practices
7,"The digital capacity implementation plan identifies opportunities, incentives and rewards for staff who actively engage in the process of building digital capacity and modernisation of learning environments.","Opportunities, incentives and rewards for staff are identified","Strategy for digital-age learning is supported by an implementation plan (The organisation has a well-defined and realistic digital capacity implementation plan, with clear priorities and measurable targets for the effective organisation-wide deployment of digital learning technologies, in the context of an overarching policy/strategic plan for teaching, learning and assessment.)",Leadership & Governance Practices
8,"The digital capacity implementation plan is aligned with broader priorities, including equal opportunities and widening participation in order to mitigate social disadvantage and reduce the risk of inadequately addressing the needs of particular groups such as gifted students, migrants, and early school leavers.",Digital-age learning is aligned with broader priorities,"Strategy for digital-age learning is supported by an implementation plan (The organisation has a well-defined and realistic digital capacity implementation plan, with clear priorities and measurable targets for the effective organisation-wide deployment of digital learning technologies, in the context of an overarching policy/strategic plan for teaching, learning and assessment.)",Leadership & Governance Practices
9,"The digital capacity implementation plan includes not only provision for the use of digital learning technologies to modernise existing educational provision but also to offer new opportunities for formal, non-formal and informal learning.",There are twin goals of modernising existing educational provision and offering new opportunities,"Strategy for digital-age learning is supported by an implementation plan (The organisation has a well-defined and realistic digital capacity implementation plan, with clear priorities and measurable targets for the effective organisation-wide deployment of digital learning technologies, in the context of an overarching policy/strategic plan for teaching, learning and assessment.)",Leadership & Governance Practices
10,"The leadership team has a shared understanding of why and how the organisation seeks to integrate digital learning technologies, and commitment to the implementation plan is evident.",There is a shared understanding of and commitment to the implementation plan,"A Management and Governance Model is in place (A management and governance model is in place to co-ordinate and oversee the implementation plan for digital-age learning and digital capacity, including effective use of human and other resources and orchestrating the integration and effective use of digital learning technologies.)",Leadership & Governance Practices
11,Management responsibility has been clearly assigned for delivery and monitoring of the digital capacity implementation plan.,Management responsibility is clearly assigned,"A Management and Governance Model is in place (A management and governance model is in place to co-ordinate and oversee the implementation plan for digital-age learning and digital capacity, including effective use of human and other resources and orchestrating the integration and effective use of digital learning technologies.)",Leadership & Governance Practices
12,"Staffing and budgetary resources required to underpin the digital capacity implementation plan are clearly identified, and are optimised in the context of organisational budgets and staffing plans.",Resources are aligned with budgets and staffing,"A Management and Governance Model is in place (A management and governance model is in place to co-ordinate and oversee the implementation plan for digital-age learning and digital capacity, including effective use of human and other resources and orchestrating the integration and effective use of digital learning technologies.)",Leadership & Governance Practices
13,"A process is in place to periodically review and report the outcomes, quality and impact of the digital capacity implementation plan and to update it to take account of the evolving needs of the organisation and emerging technological trends and pedagogical developments.","The outcomes, quality and impact of the implementation plan are reviewed","A Management and Governance Model is in place (A management and governance model is in place to co-ordinate and oversee the implementation plan for digital-age learning and digital capacity, including effective use of human and other resources and orchestrating the integration and effective use of digital learning technologies.)",Leadership & Governance Practices
14,Appropriate processes are in place for the evaluation of specific initiatives or pilots that might be undertaken by the organisation as part of its digital capacity implementation plan.,Specific initiatives or pilots are evaluated,"A Management and Governance Model is in place (A management and governance model is in place to co-ordinate and oversee the implementation plan for digital-age learning and digital capacity, including effective use of human and other resources and orchestrating the integration and effective use of digital learning technologies.)",Leadership & Governance Practices
15,"A process is in place to externally benchmark the organisation's digital capacity, with respect to similar organisations, regionally, nationally or internationally.",Implementation status is benchmarked,"A Management and Governance Model is in place (A management and governance model is in place to co-ordinate and oversee the implementation plan for digital-age learning and digital capacity, including effective use of human and other resources and orchestrating the integration and effective use of digital learning technologies.)",Leadership & Governance Practices
16,Boards of management or other governing authorities engage with questions of policy and direction in relation to digital-age learning.,Oversight of policy and direction is evident,"A Management and Governance Model is in place (A management and governance model is in place to co-ordinate and oversee the implementation plan for digital-age learning and digital capacity, including effective use of human and other resources and orchestrating the integration and effective use of digital learning technologies.)",Leadership & Governance Practices
17,"The organisation has processes in place to ensure that staff and students are confident, and competent integrating digital technologies into their everyday practices (teaching, learning, communication, assessment, administration) and are capable of choosing (or have access to) devices, software, applications, digital content and online services that best suit their needs and educational expectations.",Staff and students are Digitally-Competent,"Digital Competence is promoted, benchmarked and assessed (This sub-element highlights the importance for staff and students to demonstrate the digital competence (DC) required to effectively use digital technologies for teaching, learning, assessment and leadership. It also addressed the responsibility and the duty of care of the organisation in relation to the safety and wellbeing of staff and students while digitally engaged. Safety and awareness of risks, balanced by a clear understanding of responsible behaviours are of paramount importance.)",Teaching and Learning Practices
18,"Staff and student Digital Competence comprehensively addresses safety, awareness of risks and norms for responsible behaviour in online environments.","Safety, risks and responsible behaviour in online environments are foregrounded","Digital Competence is promoted, benchmarked and assessed (This sub-element highlights the importance for staff and students to demonstrate the digital competence (DC) required to effectively use digital technologies for teaching, learning, assessment and leadership. It also addressed the responsibility and the duty of care of the organisation in relation to the safety and wellbeing of staff and students while digitally engaged. Safety and awareness of risks, balanced by a clear understanding of responsible behaviours are of paramount importance.)",Teaching and Learning Practices
19,"Digital Competence development measures are described in the organisation's plans. The organisation has adopted/adapted relevant frameworks and online tools (e.g., DigComp framework, UNESCO ICT Competence Framework for Teachers) to benchmark the digital competence of staff and students in a systematic manner.",The Digital Competence (DC) of staff and students is benchmarked,"Digital Competence is promoted, benchmarked and assessed (This sub-element highlights the importance for staff and students to demonstrate the digital competence (DC) required to effectively use digital technologies for teaching, learning, assessment and leadership. It also addressed the responsibility and the duty of care of the organisation in relation to the safety and wellbeing of staff and students while digitally engaged. Safety and awareness of risks, balanced by a clear understanding of responsible behaviours are of paramount importance.)",Teaching and Learning Practices
20,Digital Competence is factored in performance appraisals of staff.,DC is included in staff appraisal,"Digital Competence is promoted, benchmarked and assessed (This sub-element highlights the importance for staff and students to demonstrate the digital competence (DC) required to effectively use digital technologies for teaching, learning, assessment and leadership. It also addressed the responsibility and the duty of care of the organisation in relation to the safety and wellbeing of staff and students while digitally engaged. Safety and awareness of risks, balanced by a clear understanding of responsible behaviours are of paramount importance.)",Teaching and Learning Practices
21,The organisation aims to establish a culture where staff (and including students as appropriate) are considered as partners in change and are encouraged and incentivised to take measured risks and to explore new approaches that actively contribute to the integration and effective use of digital learning technologies for comprehensive learning outcomes.,Staff are partners in change,A rethinking of roles and pedagogical approaches takes place (The organisation empowers and expects staff and students to adopt and adapt effective and innovative pedagogical practices made possible by the use of digital learning technologies and to use these practices in diverse learning settings (inside and outside the organisation) and for various purposes (formal and informal).,Teaching and Learning Practices
